,Name,ID,Age,Nationality,primary_pos,Value
42,David Silva,168542,31,Spain,LM,44000000
43,S. Handanovič,162835,32,Slovenia,GK,29000000
44,Piqué,152729,30,Spain,CB,37500000
45,Iniesta,41,33,Spain,LM,29500000
46,H. Kane,202126,23,England,ST,59000000
47,J. Rodríguez,198710,25,Colombia,RM,56000000
48,Isco,197781,25,Spain,LM,56500000
49,D. Alaba,197445,25,Austria,CM,44500000
50,R. Lukaku,192505,24,Belgium,ST,59000000
51,Alex Sandro,191043,26,Brazil,LM,44000000
52,T. Müller,189596,27,Germany,ST,47500000
53,Sergio Busquets,189511,28,Spain,CM,36000000
54,Coutinho,189242,25,Brazil,CAM,56000000
55,M. Reus,188350,28,Germany,LW,45000000
56,T. Alderweireld,184087,28,Belgium,CB,40500000
57,David Luiz,179944,30,Brazil,CB,33000000
58,Diego Costa,179844,28,Spain,ST,46000000
59,R. Nainggolan,178518,29,Belgium,CAM,42500000
60,Javi Martínez,177610,28,Spain,CDM,36000000
61,D. Mertens,175943,30,Belgium,ST,43000000
62,Sokratis,172879,29,Greece,CB,34500000
63,Miranda,168609,32,Brazil,CB,25500000
64,K. Benzema,165153,29,France,ST,44500000
65,Cesc Fàbregas,162895,30,Spain,CAM,41000000
66,F. Ribéry,156616,34,France,LW,22500000
67,Pepe,120533,34,Portugal,CB,13500000
68,P. Čech,48940,35,Czech Republic,GK,10500000
69,Y. Carrasco,208418,23,Belgium,RM,51500000
70,R. Varane,201535,24,France,CB,46500000
71,Casemiro,200145,25,Brazil,CDM,42000000
72,L. Insigne,198219,26,Italy,LW,45000000
73,A. Lacazette,193301,26,France,ST,48500000
74,K. Navas,193041,30,Costa Rica,GK,24500000
75,H. Mkhitaryan,192883,28,Armenia,LM,39000000
76,D. Subašić,192593,32,Croatia,GK,22000000
77,B. Leno,192563,25,Germany,GK,34000000
78,M. ter Stegen,192448,25,Germany,GK,35500000
79,K. Glik,190547,29,Poland,CB,30000000
80,Jordi Alba,189332,28,Spain,LB,30500000
81,I. Gündoğan,186942,26,Germany,CDM,46000000
82,Azpilicueta,184432,27,Spain,LB,37500000
83,A. Di María,183898,29,Argentina,LW,37500000
84,M. Pjanić,180206,27,Bosnia Herzegovina,CDM,43500000
85,C. Marchisio,173210,31,Italy,CDM,33000000
86,J. Vertonghen,172871,30,Belgium,CB,28500000
87,B. Matuidi,170890,30,France,CM,28500000
88,S. Ruffier,167628,30,France,GK,24500000
89,Filipe Luís,164169,31,Brazil,LB,25000000
90,V. Kompany,139720,31,Belgium,CB,26000000
91,A. Barzagli,137186,36,Italy,CB,5000000
92,E. Bailly,225508,23,Ivory Coast,CB,35500000
93,Marco Asensio,220834,21,Spain,LW,46000000
94,Bernardo Silva,218667,22,Portugal,RM,43500000
95,A. Laporte,212218,23,France,CB,35500000
96,D. Alli,211117,21,England,LM,43000000
97,S. Mané,208722,25,Senegal,LW,39000000
98,Carvajal,204963,25,Spain,RB,32000000
99,J. Draxler,202166,23,Germany,LM,39500000
100,M. Icardi,201399,24,Argentina,ST,42000000
101,Morata,201153,24,Spain,ST,41000000
102,K. Koulibaly,201024,26,Senegal,CB,32500000
103,T. Horn,200316,24,Germany,GK,31000000
104,Koke,193747,25,Spain,LM,39500000
105,K. Manolas,192774,26,Greece,CB,31500000
106,S. Mustafi,192227,25,Germany,CB,31500000
107,Ander Herrera,191740,27,Spain,CDM,32000000
108,K. Strootman,189712,27,Netherlands,CDM,35000000
109,Pedro,189505,29,Spain,LW,30500000
110,R. Bürki,189117,26,Switzerland,GK,26000000
111,Bruno,184120,33,Spain,CDM,18500000
112,I. Perišić,181458,28,Croatia,CAM,31500000
113,E. Džeko,180930,31,Bosnia Herzegovina,ST,28000000
114,Willian,180403,28,Brazil,CAM,31500000
115,S. Khedira,179846,30,Germany,CDM,29000000
116,R. Fährmann,179783,28,Germany,GK,25000000
117,Sergio Asenjo,178750,28,Spain,GK,25000000
118,Juan Mata,178088,29,Spain,RM,30500000
119,M. Benatia,177509,30,Morocco,CB,23000000
120,D. Payet,177388,30,France,CAM,29500000
121,Falcao,167397,31,Colombia,ST,28000000
122,L. Koscielny,165229,31,France,CB,21000000
123,G. Cahill,164468,31,England,CB,21000000
124,Dani Alves,146530,34,Brazil,RB,9000000
125,A. Gómez,143076,29,Argentina,ST,31000000
126,Aduriz,106231,36,Spain,ST,11000000
127,K. Mbappé,231747,18,France,ST,41500000
128,O. Dembélé,231443,20,France,CAM,40000000
129,N. Keïta,220971,22,Guinea,CAM,34000000
130,J. Giménez,216460,22,Uruguay,CB,28500000
131,G. Rulli,215316,25,Argentina,GK,25500000
132,T. Lemar,213565,21,France,LM,38500000
133,João Mário,212814,24,Portugal,CAM,34000000
134,N. Süle,212190,21,Germany,CB,30500000
135,Ederson,210257,23,Brazil,GK,26000000
136,Fabinho,209499,23,Brazil,CDM,29500000
137,M. Salah,209331,25,Egypt,RW,32500000
138,A. Belotti,208596,23,Italy,ST,37000000
139,E. Forsberg,208448,25,Sweden,LM,31500000
140,Marquinhos,207865,23,Brazil,CB,30500000
141,William Carvalho,207566,25,Portugal,CM,27500000
142,S. Umtiti,205600,23,France,CB,29500000
143,R. Mahrez,204485,26,Algeria,RM,30500000
144,V. van Dijk,203376,25,Netherlands,CB,27500000
145,Roberto Firmino,201942,25,Brazil,CAM,34000000
146,Danilo Pereira,200888,25,Portugal,CM,27500000
147,Vitolo,199715,27,Spain,RM,27000000
148,A. Lopes,199482,26,Portugal,GK,22500000
149,S. de Vrij,198176,25,Netherlands,CB,29000000
150,M. Perin,198009,24,Italy,GK,25000000
151,J. Matip,197061,25,Cameroon,CB,26500000
152,I. Gueye,193474,27,Senegal,CM,24500000
153,Iago Aspas,192629,29,Spain,RW,26000000
154,N. Otamendi,192366,29,Argentina,CB,20000000
155,N. Matić,191202,28,Serbia,CM,21000000
156,J. Pastore,191180,28,Argentina,RW,25500000
157,Parejo,189513,28,Spain,CDM,25500000
158,S. Kagawa,189358,28,Japan,ST,26000000
159,G. Bonaventura,189125,27,Italy,LW,26500000
160,B. Dost,189068,28,Netherlands,ST,27000000
161,K. Walker,188377,27,England,RWB,24000000
162,Oscar,188152,25,Brazil,CAM,0
163,S. N'Zonzi,187936,28,France,CM,21000000
164,M. Musacchio,186547,26,Argentina,CB,27000000
165,O. Toprak,185239,27,Turkey,CB,24500000
166,José Callejón,185020,30,Spain,RW,24500000
167,Adrien Silva,184826,28,Portugal,CDM,0
168,S. Giovinco,184431,30,Italy,ST,25000000
169,N. Gaitán,184144,29,Argentina,LM,25500000
170,M. Mandžukić,181783,31,Croatia,LM,23500000
171,A. Lallana,180819,29,England,CM,25000000
172,B. Höwedes,179784,29,Germany,CB,20000000
173,E. Banega,178562,29,Argentina,CM,25500000
174,Rui Patrício,178005,29,Portugal,GK,17500000
175,Y. Sommer,177683,28,Switzerland,GK,21000000
176,M. Schneiderlin,177358,27,France,CM,25500000
177,Jonas,176769,33,Brazil,ST,16500000
178,K. Gameiro,176600,30,France,ST,25000000
179,L. Piszczek,173771,32,Poland,CB,14500000
180,E. Garay,170481,30,Argentina,CB,19000000
181,A. Valencia,167905,31,Ecuador,RB,17000000
182,K. Schmeichel,163587,30,Denmark,GK,19000000
183,M. Dembélé,162240,29,Belgium,CDM,25000000
184,Borja Valero,161956,32,Spain,ST,20000000
185,L. Perrin,159147,31,France,CB,17500000
186,L. Biglia,158963,31,Argentina,CM,17500000
187,Juanfran,146760,32,Spain,RB,14500000
188,Diego López,146748,35,Spain,GK,6000000
189,Santi Cazorla,146562,32,Spain,CDM,19500000
190,J. Mascherano,142754,33,Argentina,CDM,10500000
191,W. Sneijder,139869,33,Netherlands,CAM,15500000
192,Nani,139068,30,Portugal,LM,24500000
193,D. De Rossi,53302,33,Italy,CDM,10500000
194,José Reina,24630,34,Spain,GK,10500000
195,Quaresma,20775,33,Portugal,LM,15500000
196,Y. Touré,20289,34,Ivory Coast,CDM,12500000
197,Casillas,5479,36,Spain,GK,3500000
198,G. Donnarumma,230621,18,Italy,GK,28500000
199,L. Sané,222492,21,Germany,LM,34500000
200,T. Bakayoko,219809,22,France,CM,26000000
201,C. Tolisso,219683,22,France,CDM,30500000
202,I. Slimani,217699,29,Algeria,ST,22000000
203,N. Fekir,216594,23,France,ST,28000000
204,J. Seri,216451,25,Ivory Coast,CDM,26000000
205,K. Baldé Diao,215785,22,Senegal,ST,32500000
206,J. Tah,213331,21,Germany,CB,26000000
207,F. Bernardeschi,212404,23,Italy,LM,30500000
208,T. Werner,212188,21,Germany,ST,30500000
209,André Gomes,211575,23,Portugal,CAM,30000000
210,A. Martial,211300,21,France,ST,33000000
211,L. Goretzka,209658,22,Germany,CDM,30000000
212,Q. Promes,208808,25,Netherlands,LM,28000000
213,Lucas Vázquez,208618,26,Spain,RM,26000000
214,Saúl,208421,22,Spain,RM,32000000
215,Felipe,207863,28,Brazil,CB,18000000
216,C. Bacca,207664,30,Colombia,ST,21500000
217,F. Vázquez,207471,28,Italy,ST,22500000
218,M. Kovačić,207410,23,Croatia,CDM,30000000
219,Sergio Rico,206652,23,Spain,GK,21500000
220,Manu Trigueros,206545,25,Spain,CAM,27500000
221,A. Rüdiger,205452,24,Germany,RB,24500000
222,F. Thauvin,204970,24,France,RM,28000000
223,S. Savić,204639,26,Montenegro,CB,24000000
224,Iñigo Martínez,204525,26,Spain,CB,24000000
225,Roque Mesa,204277,28,Spain,CM,18000000
226,A. Florenzi,203551,26,Italy,CM,22000000
227,D. Klaassen,203483,24,Netherlands,CAM,27500000
228,K. Bellarabi,202857,27,Germany,RM,23000000
229,R. Sterling,202652,22,England,LM,29500000
230,Suso,202651,23,Spain,RW,29500000
231,Deulofeu,202477,23,Spain,RW,31000000
232,E. Dier,202335,23,England,CM,25000000
233,M. Rojo,201862,27,Argentina,LB,21000000
234,Lucas,200949,24,Brazil,LW,28000000
235,H. Son,200104,24,Korea Republic,ST,28000000
236,F. Acerbi,199845,29,Italy,CB,17000000
237,G. Xhaka,199503,24,Switzerland,CDM,27500000
238,Jonathan Viera,198164,27,Spain,CAM,23000000
239,Pizzi,197965,27,Portugal,RM,23000000
240,Willian José,195093,25,Brazil,ST,29000000
241,O. Baumann,193698,27,Germany,GK,18000000
242,G. Medel,193532,29,Chile,CB,17000000
243,Víctor Ruíz,193469,28,Spain,CB,20000000
244,X. Shaqiri,193348,25,Switzerland,RW,28000000
245,J. Cuadrado,193082,29,Colombia,RM,21500000
246,C. Immobile,192387,27,Italy,ST,26000000
247,Douglas Costa,190483,26,Brazil,RM,24000000
248,N. Clyne,190456,26,England,RB,22000000
249,Iborra,189560,29,Spain,CAM,17000000
250,K. Trapp,188943,26,Germany,GK,18500000
251,V. Wanyama,188942,26,Kenya,CM,23000000
252,Taison,188803,29,Brazil,CAM,21500000
253,Marlos,187754,29,Brazil,RM,21500000
254,L. Stindl,187072,28,Germany,CAM,23000000
255,M. Balotelli,186627,26,Italy,ST,24500000
256,A. Ramsey,186561,26,Wales,RM,25500000
257,W. Szczęsny,186153,27,Poland,GK,18000000
258,G. Sigurðsson,184484,27,Iceland,LM,23000000
259,Y. Brahimi,184267,27,Algeria,LM,23000000
260,M. Arnautović,184200,28,Austria,LW,22500000
261,J. Henderson,183711,27,England,CM,21500000
262,M. Kruse,183574,29,Germany,CAM,22000000
263,O. Karnezis,183497,31,Greece,GK,13500000
264,L. Fejsa,183376,28,Serbia,CM,18000000
265,F. Muslera,182494,31,Uruguay,GK,13500000
266,V. Ćorluka,181786,31,Croatia,CB,15000000
267,G. Wijnaldum,181291,26,Netherlands,CAM,27000000
268,F. Fazio,179847,30,Argentina,CB,16500000
269,O. Giroud,178509,30,France,ST,21500000
270,B. Ivanović,178372,33,Serbia,RB,9000000
271,J. Hernández,178224,29,Mexico,ST,22000000
272,Beñat,177600,30,Spain,CM,20500000
273,L. Bender,177457,28,Germany,CM,20000000
274,A. Witsel,177413,28,Belgium,CAM,0
275,C. Bravo,174543,34,Chile,GK,9000000
276,A. Begović,172723,30,Bosnia Herzegovina,GK,14000000
277,Naldo,171919,34,Brazil,CB,6500000
278,D. Sturridge,171833,27,England,ST,23500000
279,D. Rose,169595,26,England,LWB,21000000
280,C. Vela,169416,28,Mexico,ST,22500000
281,E. Viviano,168354,31,Italy,GK,13500000
282,G. Castro,167431,30,Germany,RM,20500000
283,S. Nasri,165239,30,France,RM,21000000
284,A. Williams,163824,32,Wales,CB,12500000
285,S. Mandanda,163705,32,France,GK,12500000
286,L. Baines,163631,32,England,LB,12500000
287,A. Consigli,163489,30,Italy,GK,14000000
288,João Moutinho,162347,30,Portugal,CAM,20500000
289,B. Costil,158121,29,France,GK,15000000
290,Raúl Albiol,157481,31,Spain,CB,15000000
291,J. Hart,150724,30,England,GK,14000000
292,M. Gómez,150418,31,Germany,ST,20000000
293,Raffael,144622,32,Brazil,ST,17500000
294,A. Turan,143745,30,Turkey,LW,20500000
295,Fernandinho,135507,32,Brazil,RB,12500000
296,David Villa,113422,35,Spain,ST,10000000
297,S. Lichtsteiner,108080,33,Switzerland,RM,8500000
298,R. Jarstein,104389,32,Norway,GK,12500000
299,Gabriel Jesus,230666,20,Brazil,ST,31000000
300,Nélson Semedo,227928,23,Portugal,RB,20500000
301,Gelson Martins,227055,22,Portugal,LM,25000000
302,Malcom,222737,20,Brazil,RM,24500000
303,J. Weigl,222028,21,Germany,CM,21000000
304,D. Sánchez,220793,21,Colombia,CB,21500000
305,A. Kramarić,216354,26,Croatia,LW,22000000
306,M. Brozović,216352,24,Croatia,CDM,23000000
307,Williams,216201,23,Spain,LW,24500000
308,Dani García,216194,27,Spain,CDM,17000000
309,A. Christensen,213661,21,Denmark,CDM,23000000
310,J. Kimmich,212622,22,Germany,CDM,20500000
311,Bruma,211368,22,Portugal,RM,24000000
312,D. Berardi,210935,22,Italy,RW,24500000
313,M. Sanson,210896,22,France,CDM,24000000
314,A. Rabiot,210008,22,France,CM,23500000
315,R. Guerreiro,209889,23,Portugal,CM,24000000
316,J. Vardy,208830,30,England,ST,17000000
317,H. Ziyech,208670,24,Morocco,CAM,23000000
318,M. Keane,207599,24,England,CB,21000000
319,Jorginho,205498,25,Italy,CM,22000000
320,Héctor Bellerín,203747,22,Spain,RB,21000000
321,J. Butland,203042,24,England,GK,18000000
322,S. Zaza,202685,26,Italy,ST,21000000
323,T. Meunier,202371,25,Belgium,RM,18500000
324,Felipe Anderson,201995,24,Brazil,RM,24000000
325,Rafinha,201400,24,Brazil,RW,23500000
326,Nacho Fernández,200724,27,Spain,RB,17500000
327,J. Cillessen,199987,28,Netherlands,GK,15000000
328,Sergi Roberto,199564,25,Spain,CM,19500000
329,W. Ben Yedder,199451,26,France,ST,21000000
330,Lucas Pérez,199354,28,Spain,ST,18500000
331,R. Barkley,199189,23,England,RW,24000000
332,C. Bakambu,198951,26,DR Congo,LM,22500000
333,W. Zaha,198717,24,Ivory Coast,LM,22500000
334,Bartra,198141,26,Spain,CB,18000000
335,S. Aurier,197853,24,Ivory Coast,RB,19000000
336,S. Coates,197655,26,Uruguay,CB,18000000
337,G. Krychowiak,197242,27,Poland,CDM,17500000
338,K. Kampl,195365,26,Slovenia,CAM,21000000
339,D. Lovren,195086,27,Croatia,CB,17500000
340,A. Yarmolenko,194794,27,Ukraine,RM,18500000
341,Y. Belhanda,193738,27,Morocco,LW,18500000
342,Mário Fernandes,193525,26,Russia,RM,17000000
343,R. Rodríguez,193352,24,Switzerland,CB,18500000
344,J. Corona,193165,24,Mexico,RM,23000000
345,Mario Gaspar,192789,26,Spain,RB,18000000
346,Marcos Alonso,192638,26,Spain,LB,17500000
347,M. Götze,192318,25,Germany,CAM,22500000
348,L. Hrádecký,190941,27,Finland,GK,14500000
349,Illarramendi,190584,27,Spain,CM,18000000
350,De Marcos,190149,28,Spain,RB,14000000
351,C. Smalling,189881,27,England,CB,17000000
352,Iturraspe,189574,28,Spain,CM,17500000
353,J. Wilshere,189461,25,England,CDM,22000000
354,S. Rudy,189251,27,Germany,RM,20000000
355,M. Lanzini,188988,24,Argentina,LM,24500000
356,R. Boudebouz,188388,27,Algeria,CAM,20500000
357,Camacho,188005,27,Spain,CM,18000000
358,Paulinho,187961,28,Brazil,CDM,17500000
359,N. Kalinić,185431,29,Croatia,ST,18000000
360,Giuliano,184942,27,Brazil,CAM,20500000
361,C. Benteke,184111,26,Belgium,ST,22000000
362,D. Perotti,183900,28,Argentina,ST,18000000
363,M. Parolo,183498,32,Italy,CDM,13500000
364,K. Mitroglou,183483,29,Greece,ST,18000000
365,M. Sakho,183285,27,France,CB,17000000
366,A. Rami,183280,31,France,CB,12000000
367,S. Jovetić,181820,27,Montenegro,CAM,21000000
368,S. Coleman,180216,28,Republic of Ireland,RB,14000000
369,S. Kjær,179645,28,Denmark,CB,16000000
370,Adán,178086,30,Spain,GK,11500000
371,M. Valbuena,177326,32,France,LM,14000000
372,S. Mignolet,173426,29,Belgium,GK,12000000
373,D. Astori,173198,30,Italy,CB,13000000
374,K. Mirallas,172175,29,Belgium,LW,17500000
375,Raúl García,171579,30,Spain,RW,17000000
376,M. Škrtel,166706,32,Slovakia,CB,10000000
377,T. Heaton,163264,31,England,GK,11000000
378,H. Ben Arfa,161648,30,France,ST,17000000
379,Dante,158625,33,Brazil,CB,7000000
380,A. Gignac,153244,31,France,ST,16000000
381,Gabi,146954,33,Spain,CM,10500000
382,G. Rodríguez,142780,33,Argentina,CB,7000000
383,D. Srna,139997,35,Croatia,RB,3800000
384,B. Schweinsteiger,121944,32,Germany,CDM,13500000
385,C. Carrasso,116494,35,France,GK,4200000
386,Moyá,110677,33,Spain,GK,9000000
387,W. Rooney,54050,31,England,ST,15500000
388,P. Mertesacker,53612,32,Germany,CB,10000000
389,T. Motta,49370,34,Italy,CDM,5500000
390,Fernando Torres,49369,33,Spain,ST,11000000
391,S. Eto'o,9676,36,Cameroon,ST,6500000
392,M. Rashford,231677,19,England,RM,22000000
393,S. Milinković-Savić,223848,22,Serbia,CAM,20000000
394,Y. Tielemans,216393,20,Belgium,CAM,23500000
395,Jemerson,215792,24,Brazil,CB,17500000
396,N. Bentaleb,213296,22,Algeria,CDM,19500000
397,Alisson,212831,24,Brazil,GK,14000000
398,Alex Telles,212462,24,Brazil,LB,16000000
399,J. Brandt,212194,21,Germany,CAM,22000000
400,K. Demirbay,211748,23,Germany,CM,19500000
401,D. Rugani,211320,22,Italy,CB,19000000
402,Samu Castillejo,210617,22,Spain,LM,20000000
403,P. Zieliński,210406,23,Poland,CM,20500000
404,Ricardo Pereira,210243,23,Portugal,RM,17000000
405,Grimaldo,210035,21,Spain,LB,17500000
406,Fred,209297,24,Brazil,CAM,19500000
407,J. Hector,208334,27,Germany,LB,14000000
408,E. Can,208333,23,Germany,CDM,19500000
409,S. Kolašinac,207993,24,Bosnia Herzegovina,LM,15500000
410,Arrizabalaga,206585,22,Spain,GK,15500000
411,A. Pléa,206467,24,France,RM,20500000
412,T. Stepanenko,206413,27,Ukraine,CDM,14000000
413,O. Shatov,206273,26,Russia,RW,16000000
414,Leo Baptistao,205976,24,Brazil,RM,19000000
415,M. Nastasić,205362,24,Serbia,CB,16500000
416,Denis Suárez,205192,23,Spain,RM,20500000
417,M. Batshuayi,204529,23,Belgium,ST,20000000
418,J. Brooks,204082,24,United States,CB,17000000
419,Eric Botteghin,203888,29,Brazil,CB,11500000
420,L. Karius,203775,24,Germany,GK,14000000
421,T. Hazard,203486,24,Belgium,RM,19500000
422,V. Germain,203280,27,France,ST,16000000
423,L. Kurzawa,201510,24,France,LB,16500000
424,J. Iličić,200647,29,Slovenia,CAM,15000000
425,K. Volland,200610,24,Germany,LW,19000000
426,Allan,199914,26,Brazil,CM,17500000
427,P. Hernández,199827,30,Chile,CAM,13500000
428,D. Tadić,199434,28,Serbia,RM,15000000
429,L. Muriel,199110,26,Colombia,ST,18500000
430,Pablo Sarabia,198950,25,Spain,CM,18500000
431,A. Oxlade-Chamberlain,198784,23,England,RWB,20000000
432,J. Guilavogui,198118,26,France,CM,15000000
433,O. Özyakup,196934,24,Turkey,CDM,19500000
434,Y. Rakitskyi,195861,27,Ukraine,CB,14500000
435,Sergi Enrich,194879,27,Spain,ST,17500000
436,Neto,194404,27,Brazil,GK,10000000
437,Hugo Mallo,194229,26,Spain,CB,15000000
438,D. Didavi,193886,27,Germany,CM,17000000
439,R. Soriano,193361,26,Italy,CM,17500000
440,A. Schürrle,193130,26,Germany,LW,17500000
441,M. Gonalons,193116,28,France,CDM,12000000
442,R. Pereyra,193061,26,Argentina,CAM,18000000
443,K. Vogt,192641,25,Germany,CDM,15000000
444,F. Orellana,192492,31,Chile,RW,13000000
445,Maicon,191687,28,Brazil,CB,12000000
446,E. Salvio,190972,26,Argentina,RM,16000000
447,D. Blind,190815,27,Netherlands,CB,13500000
448,S. El Shaarawy,190813,24,Italy,LW,19000000
449,M. Antonio,190717,27,England,RWB,17500000
450,Iago Falqué,190264,27,Spain,LW,15500000
451,S. Rondón,189250,27,Venezuela,ST,16000000
452,Daniel Carriço,189156,28,Portugal,CDM,13500000
453,M. Schmelzer,188802,29,Germany,LM,11000000
454,J. McCarthy,188253,26,Republic of Ireland,CM,15500000
455,A. Dzagoev,187735,27,Russia,ST,16500000
456,Ganso,187688,27,Brazil,CM,17000000
457,F. Smolov,187491,27,Russia,ST,17500000
458,D. Welbeck,186146,26,England,ST,17500000
459,Luiz Gustavo,185221,29,Brazil,CB,11500000
460,Mikel San José,185132,28,Spain,CM,14500000
461,M. Darmian,184392,27,Italy,RB,13500000
462,R. Thomas,184190,29,France,CB,11500000
463,I. Traoré,183909,29,Guinea,RM,14500000
464,Sidnei,182002,27,Brazil,CB,14500000
465,J. Lens,178416,29,Netherlands,RW,14500000
466,Eder,178311,30,Italy,LW,14500000
467,Kiko Casilla,177644,30,Spain,GK,9500000
468,Nacho Monreal,177604,31,Spain,CB,9500000
469,S. Bender,177458,28,Germany,CDM,13500000
470,M. Díaz,176930,30,Chile,CDM,13500000
471,A. Fernández,176915,31,Argentina,CM,12500000
472,M. Berg,176733,30,Sweden,ST,0
473,I. Piatti,176376,32,Argentina,ST,11500000
474,V. Birsa,176104,30,Slovenia,CAM,14000000
475,Pedro León,175379,30,Spain,LM,14000000
476,K. Boateng,173909,30,Ghana,CAM,14500000
477,Marcano,173521,30,Spain,CB,11000000
478,H. Moreno,173432,29,Mexico,LB,11500000
479,S. Romero,173373,30,Argentina,GK,9500000
480,A. Candreva,173221,30,Italy,RW,14000000
481,D. Criscito,173208,30,Italy,CB,10500000
482,D. Wass,172522,28,Denmark,CAM,14500000
483,Coke,172316,30,Spain,RM,10500000
484,A. Guardado,171897,30,Mexico,CDM,13500000
485,J. dos Santos,170370,27,Mexico,RM,16500000
486,E. Lamela,170368,25,Argentina,LM,18500000
487,R. Bertrand,169705,27,England,LB,12000000
488,Renato Augusto,169195,29,Brazil,LM,0
489,Jardel,168530,31,Brazil,CB,10000000
490,V. Denisov,167553,30,Uzbekistan,LB,10500000
491,D. Basta,167514,32,Serbia,RM,8000000
492,G. Cabral,165536,31,Argentina,CB,10000000
493,G. Paletta,165526,31,Italy,CB,10000000
494,T. Walcott,164859,28,England,ST,15000000
495,L. Fabiański,164835,32,Poland,GK,8500000
496,B. Foster,163155,34,England,GK,6000000
497,V. Ibišević,162369,32,Bosnia Herzegovina,ST,12000000
498,K. El Ahmadi,162329,32,Morocco,CM,11000000
499,S. Kalou,158232,31,Ivory Coast,ST,13000000
500,Manuel Fernandes,157960,31,Portugal,CM,13000000
501,A. Granqvist,156713,32,Sweden,CB,8500000
502,L. Podolski,150516,32,Germany,CAM,12000000
503,Javi Fuego,146460,33,Spain,CM,6000000
504,F. Belluschi,143587,33,Argentina,CM,9000000
505,A. Mirante,140293,33,Italy,GK,7500000
506,V. Enyeama,139968,34,Nigeria,GK,6000000
507,F. Marchetti,139668,34,Italy,GK,6000000
508,Kaká,138449,35,Brazil,ST,6500000
509,J. Milner,138412,31,England,CM,9500000
510,A. Hutchinson,134744,34,Canada,CM,4500000
511,M. Topal,124635,31,Turkey,CB,10000000
512,J. Mathieu,112316,33,France,LB,6000000
513,C. Kameni,111661,33,Cameroon,GK,7500000
514,P. Jagielka,53914,34,England,CB,4500000
515,P. Evra,52091,36,France,LB,1700000
516,J. Defoe,50542,34,England,ST,8000000
517,Júlio César,48717,37,Brazil,GK,1000000
518,M. Carrick,21146,35,England,CDM,3500000
519,M. Almirón,230977,23,Paraguay,LM,16500000
520,Oyarzabal,230142,20,Spain,RW,18000000
521,Soares,227476,26,Brazil,ST,15500000
522,M. Campaña,225647,28,Uruguay,GK,11000000
523,F. Andone,225018,24,Romania,ST,17000000
524,M. Acuña,224334,25,Argentina,RM,16000000
525,V. Lindelöf,221660,22,Sweden,CB,15000000
526,Y. Cardinale,221130,23,France,GK,12500000
527,C. Lenglet,220440,22,France,CB,14500000
528,M. Dahoud,218339,21,Germany,CDM,18500000
529,D. Zappacosta,216150,25,Italy,RM,13500000
530,N. Maksimović,215466,25,Serbia,CB,13500000
531,E. Rigoni,215259,24,Argentina,LM,17500000
532,I. Marcone,215057,27,Argentina,CDM,12500000
533,L. López,215051,27,Argentina,CB,12000000
534,A. Correa,214997,22,Argentina,RW,19000000
535,K. Coman,213345,21,France,LM,18000000
536,S. Kritsyuk,213150,26,Russia,GK,11000000
537,W. Cyprien,212886,22,France,CDM,18500000
538,Diego Llorente,212602,23,Spain,CDM,16000000
539,Anderson Talisca,212523,23,Brazil,CM,17000000
