,Name,ID,Age,Nationality,Overall,Potential,primary_pos
164,M. Musacchio,186547,26,Argentina,83,86,CB
165,O. Toprak,185239,27,Turkey,83,84,CB
166,José Callejón,185020,30,Spain,83,83,RW
167,Adrien Silva,184826,28,Portugal,83,83,CDM
168,S. Giovinco,184431,30,Italy,83,83,ST
169,N. Gaitán,184144,29,Argentina,83,83,LM
170,M. Mandžukić,181783,31,Croatia,83,83,LM
171,A. Lallana,180819,29,England,83,83,CM
172,B. Höwedes,179784,29,Germany,83,83,CB
173,E. Banega,178562,29,Argentina,83,83,CM
174,Rui Patrício,178005,29,Portugal,83,83,GK
175,Y. Sommer,177683,28,Switzerland,83,84,GK
176,M. Schneiderlin,177358,27,France,83,85,CM
177,Jonas,176769,33,Brazil,83,83,ST
178,K. Gameiro,176600,30,France,83,83,ST
179,L. Piszczek,173771,32,Poland,83,83,CB
180,E. Garay,170481,30,Argentina,83,83,CB
181,A. Valencia,167905,31,Ecuador,83,83,RB
182,K. Schmeichel,163587,30,Denmark,83,84,GK
183,M. Dembélé,162240,29,Belgium,83,83,CDM
184,Borja Valero,161956,32,Spain,83,83,ST
185,L. Perrin,159147,31,France,83,83,CB
186,L. Biglia,158963,31,Argentina,83,83,CM
187,Juanfran,146760,32,Spain,83,83,RB
188,Diego López,146748,35,Spain,83,83,GK
189,Santi Cazorla,146562,32,Spain,83,83,CDM
190,J. Mascherano,142754,33,Argentina,83,83,CDM
191,W. Sneijder,139869,33,Netherlands,83,83,CAM
192,Nani,139068,30,Portugal,83,83,LM
193,D. De Rossi,53302,33,Italy,83,83,CDM
194,José Reina,24630,34,Spain,83,83,GK
195,Quaresma,20775,33,Portugal,83,83,LM
196,Y. Touré,20289,34,Ivory Coast,83,83,CDM
197,Casillas,5479,36,Spain,83,83,GK
198,G. Donnarumma,230621,18,Italy,82,94,GK
199,L. Sané,222492,21,Germany,82,91,LM
200,T. Bakayoko,219809,22,France,82,88,CM
201,C. Tolisso,219683,22,France,82,89,CDM
202,I. Slimani,217699,29,Algeria,82,82,ST
203,N. Fekir,216594,23,France,82,85,ST
204,J. Seri,216451,25,Ivory Coast,82,83,CDM
205,K. Baldé Diao,215785,22,Senegal,82,90,ST
206,J. Tah,213331,21,Germany,82,88,CB
207,F. Bernardeschi,212404,23,Italy,82,88,LM
208,T. Werner,212188,21,Germany,82,87,ST
209,André Gomes,211575,23,Portugal,82,88,CAM
210,A. Martial,211300,21,France,82,90,ST
211,L. Goretzka,209658,22,Germany,82,88,CDM
212,Q. Promes,208808,25,Netherlands,82,85,LM
213,Lucas Vázquez,208618,26,Spain,82,83,RM
214,Saúl,208421,22,Spain,82,90,RM
215,Felipe,207863,28,Brazil,82,82,CB
216,C. Bacca,207664,30,Colombia,82,82,ST
217,F. Vázquez,207471,28,Italy,82,82,ST
218,M. Kovačić,207410,23,Croatia,82,88,CDM
219,Sergio Rico,206652,23,Spain,82,87,GK
220,Manu Trigueros,206545,25,Spain,82,85,CAM
221,A. Rüdiger,205452,24,Germany,82,86,RB
222,F. Thauvin,204970,24,France,82,85,RM
223,S. Savić,204639,26,Montenegro,82,86,CB
224,Iñigo Martínez,204525,26,Spain,82,86,CB
225,Roque Mesa,204277,28,Spain,82,82,CM
226,A. Florenzi,203551,26,Italy,82,84,CM
227,D. Klaassen,203483,24,Netherlands,82,85,CAM
228,K. Bellarabi,202857,27,Germany,82,82,RM
229,R. Sterling,202652,22,England,82,87,LM
230,Suso,202651,23,Spain,82,87,RW
231,Deulofeu,202477,23,Spain,82,89,RW
232,E. Dier,202335,23,England,82,87,CM
233,M. Rojo,201862,27,Argentina,82,83,LB
234,Lucas,200949,24,Brazil,82,85,LW
235,H. Son,200104,24,Korea Republic,82,85,ST
236,F. Acerbi,199845,29,Italy,82,82,CB
237,G. Xhaka,199503,24,Switzerland,82,85,CDM
238,Jonathan Viera,198164,27,Spain,82,82,CAM
239,Pizzi,197965,27,Portugal,82,82,RM
240,Willian José,195093,25,Brazil,82,86,ST
241,O. Baumann,193698,27,Germany,82,84,GK
242,G. Medel,193532,29,Chile,82,82,CB
243,Víctor Ruíz,193469,28,Spain,82,83,CB
244,X. Shaqiri,193348,25,Switzerland,82,85,RW
245,J. Cuadrado,193082,29,Colombia,82,82,RM
246,C. Immobile,192387,27,Italy,82,83,ST
247,Douglas Costa,190483,26,Brazil,82,82,RM
248,N. Clyne,190456,26,England,82,84,RB
249,Iborra,189560,29,Spain,82,82,CAM
250,K. Trapp,188943,26,Germany,82,84,GK
251,V. Wanyama,188942,26,Kenya,82,85,CM
252,Taison,188803,29,Brazil,82,82,CAM
253,Marlos,187754,29,Brazil,82,82,RM
254,L. Stindl,187072,28,Germany,82,82,CAM
255,M. Balotelli,186627,26,Italy,82,82,ST
256,A. Ramsey,186561,26,Wales,82,83,RM
257,W. Szczęsny,186153,27,Poland,82,84,GK
258,G. Sigurðsson,184484,27,Iceland,82,82,LM
259,Y. Brahimi,184267,27,Algeria,82,82,LM
260,M. Arnautović,184200,28,Austria,82,82,LW
261,J. Henderson,183711,27,England,82,84,CM
262,M. Kruse,183574,29,Germany,82,82,CAM
263,O. Karnezis,183497,31,Greece,82,82,GK
264,L. Fejsa,183376,28,Serbia,82,82,CM
265,F. Muslera,182494,31,Uruguay,82,82,GK
266,V. Ćorluka,181786,31,Croatia,82,82,CB
267,G. Wijnaldum,181291,26,Netherlands,82,85,CAM
268,F. Fazio,179847,30,Argentina,82,82,CB
269,O. Giroud,178509,30,France,82,82,ST
270,B. Ivanović,178372,33,Serbia,82,82,RB
271,J. Hernández,178224,29,Mexico,82,82,ST
272,Beñat,177600,30,Spain,82,82,CM
273,L. Bender,177457,28,Germany,82,83,CM
274,A. Witsel,177413,28,Belgium,82,82,CAM
275,C. Bravo,174543,34,Chile,82,82,GK
276,A. Begović,172723,30,Bosnia Herzegovina,82,82,GK
277,Naldo,171919,34,Brazil,82,82,CB
278,D. Sturridge,171833,27,England,82,82,ST
279,D. Rose,169595,26,England,82,83,LWB
280,C. Vela,169416,28,Mexico,82,82,ST
281,E. Viviano,168354,31,Italy,82,82,GK
282,G. Castro,167431,30,Germany,82,82,RM
283,S. Nasri,165239,30,France,82,82,RM
284,A. Williams,163824,32,Wales,82,82,CB
285,S. Mandanda,163705,32,France,82,82,GK
286,L. Baines,163631,32,England,82,82,LB
287,A. Consigli,163489,30,Italy,82,82,GK
288,João Moutinho,162347,30,Portugal,82,82,CAM
289,B. Costil,158121,29,France,82,82,GK
290,Raúl Albiol,157481,31,Spain,82,82,CB
291,J. Hart,150724,30,England,82,82,GK
292,M. Gómez,150418,31,Germany,82,82,ST
293,Raffael,144622,32,Brazil,82,82,ST
294,A. Turan,143745,30,Turkey,82,82,LW
295,Fernandinho,135507,32,Brazil,82,82,RB
296,David Villa,113422,35,Spain,82,82,ST
297,S. Lichtsteiner,108080,33,Switzerland,82,82,RM
298,R. Jarstein,104389,32,Norway,82,82,GK
299,Gabriel Jesus,230666,20,Brazil,81,92,ST
300,Nélson Semedo,227928,23,Portugal,81,87,RB
301,Gelson Martins,227055,22,Portugal,81,88,LM
302,Malcom,222737,20,Brazil,81,87,RM
303,J. Weigl,222028,21,Germany,81,87,CM
304,D. Sánchez,220793,21,Colombia,81,88,CB
305,A. Kramarić,216354,26,Croatia,81,83,LW
306,M. Brozović,216352,24,Croatia,81,85,CDM
307,Williams,216201,23,Spain,81,87,LW
308,Dani García,216194,27,Spain,81,82,CDM
309,A. Christensen,213661,21,Denmark,81,89,CDM
310,J. Kimmich,212622,22,Germany,81,87,CDM
311,Bruma,211368,22,Portugal,81,86,RM
312,D. Berardi,210935,22,Italy,81,87,RW
313,M. Sanson,210896,22,France,81,87,CDM
314,A. Rabiot,210008,22,France,81,86,CM
315,R. Guerreiro,209889,23,Portugal,81,86,CM
316,J. Vardy,208830,30,England,81,81,ST
317,H. Ziyech,208670,24,Morocco,81,85,CAM
318,M. Keane,207599,24,England,81,87,CB
319,Jorginho,205498,25,Italy,81,84,CM
320,Héctor Bellerín,203747,22,Spain,81,88,RB
321,J. Butland,203042,24,England,81,87,GK
322,S. Zaza,202685,26,Italy,81,82,ST
323,T. Meunier,202371,25,Belgium,81,84,RM
324,Felipe Anderson,201995,24,Brazil,81,86,RM
325,Rafinha,201400,24,Brazil,81,86,RW
326,Nacho Fernández,200724,27,Spain,81,83,RB
327,J. Cillessen,199987,28,Netherlands,81,83,GK
328,Sergi Roberto,199564,25,Spain,81,86,CM
329,W. Ben Yedder,199451,26,France,81,82,ST
330,Lucas Pérez,199354,28,Spain,81,81,ST
331,R. Barkley,199189,23,England,81,86,RW
332,C. Bakambu,198951,26,DR Congo,81,84,LM
333,W. Zaha,198717,24,Ivory Coast,81,84,LM
334,Bartra,198141,26,Spain,81,83,CB
335,S. Aurier,197853,24,Ivory Coast,81,85,RB
336,S. Coates,197655,26,Uruguay,81,83,CB
337,G. Krychowiak,197242,27,Poland,81,83,CDM
338,K. Kampl,195365,26,Slovenia,81,83,CAM
339,D. Lovren,195086,27,Croatia,81,83,CB
340,A. Yarmolenko,194794,27,Ukraine,81,81,RM
341,Y. Belhanda,193738,27,Morocco,81,81,LW
342,Mário Fernandes,193525,26,Russia,81,82,RM
343,R. Rodríguez,193352,24,Switzerland,81,84,CB
344,J. Corona,193165,24,Mexico,81,85,RM
345,Mario Gaspar,192789,26,Spain,81,84,RB
346,Marcos Alonso,192638,26,Spain,81,83,LB
347,M. Götze,192318,25,Germany,81,85,CAM
348,L. Hrádecký,190941,27,Finland,81,83,GK
349,Illarramendi,190584,27,Spain,81,81,CM
350,De Marcos,190149,28,Spain,81,81,RB
351,C. Smalling,189881,27,England,81,82,CB
352,Iturraspe,189574,28,Spain,81,81,CM
353,J. Wilshere,189461,25,England,81,84,CDM
354,S. Rudy,189251,27,Germany,81,82,RM
355,M. Lanzini,188988,24,Argentina,81,87,LM
356,R. Boudebouz,188388,27,Algeria,81,82,CAM
357,Camacho,188005,27,Spain,81,84,CM
358,Paulinho,187961,28,Brazil,81,81,CDM
359,N. Kalinić,185431,29,Croatia,81,81,ST
360,Giuliano,184942,27,Brazil,81,82,CAM
361,C. Benteke,184111,26,Belgium,81,83,ST
362,D. Perotti,183900,28,Argentina,81,81,ST
363,M. Parolo,183498,32,Italy,81,81,CDM
364,K. Mitroglou,183483,29,Greece,81,81,ST
365,M. Sakho,183285,27,France,81,82,CB
366,A. Rami,183280,31,France,81,81,CB
367,S. Jovetić,181820,27,Montenegro,81,82,CAM
368,S. Coleman,180216,28,Republic of Ireland,81,81,RB
369,S. Kjær,179645,28,Denmark,81,82,CB
370,Adán,178086,30,Spain,81,81,GK
371,M. Valbuena,177326,32,France,81,81,LM
372,S. Mignolet,173426,29,Belgium,81,81,GK
373,D. Astori,173198,30,Italy,81,81,CB
374,K. Mirallas,172175,29,Belgium,81,81,LW
375,Raúl García,171579,30,Spain,81,81,RW
376,M. Škrtel,166706,32,Slovakia,81,81,CB
377,T. Heaton,163264,31,England,81,81,GK
378,H. Ben Arfa,161648,30,France,81,81,ST
379,Dante,158625,33,Brazil,81,81,CB
380,A. Gignac,153244,31,France,81,81,ST
381,Gabi,146954,33,Spain,81,81,CM
382,G. Rodríguez,142780,33,Argentina,81,81,CB
383,D. Srna,139997,35,Croatia,81,81,RB
384,B. Schweinsteiger,121944,32,Germany,81,81,CDM
385,C. Carrasso,116494,35,France,81,81,GK
386,Moyá,110677,33,Spain,81,81,GK
387,W. Rooney,54050,31,England,81,81,ST
388,P. Mertesacker,53612,32,Germany,81,81,CB
389,T. Motta,49370,34,Italy,81,81,CDM
390,Fernando Torres,49369,33,Spain,81,81,ST
391,S. Eto'o,9676,36,Cameroon,81,81,ST
392,M. Rashford,231677,19,England,80,89,RM
393,S. Milinković-Savić,223848,22,Serbia,80,86,CAM
394,Y. Tielemans,216393,20,Belgium,80,90,CAM
395,Jemerson,215792,24,Brazil,80,86,CB
396,N. Bentaleb,213296,22,Algeria,80,85,CDM
397,Alisson,212831,24,Brazil,80,84,GK
398,Alex Telles,212462,24,Brazil,80,84,LB
399,J. Brandt,212194,21,Germany,80,88,CAM
400,K. Demirbay,211748,23,Germany,80,84,CM
401,D. Rugani,211320,22,Italy,80,88,CB
402,Samu Castillejo,210617,22,Spain,80,85,LM
403,P. Zieliński,210406,23,Poland,80,87,CM
404,Ricardo Pereira,210243,23,Portugal,80,86,RM
405,Grimaldo,210035,21,Spain,80,87,LB
406,Fred,209297,24,Brazil,80,85,CAM
407,J. Hector,208334,27,Germany,80,81,LB
408,E. Can,208333,23,Germany,80,85,CDM
409,S. Kolašinac,207993,24,Bosnia Herzegovina,80,83,LM
410,Arrizabalaga,206585,22,Spain,80,87,GK
411,A. Pléa,206467,24,France,80,86,RM
412,T. Stepanenko,206413,27,Ukraine,80,81,CDM
413,O. Shatov,206273,26,Russia,80,80,RW
414,Leo Baptistao,205976,24,Brazil,80,83,RM
415,M. Nastasić,205362,24,Serbia,80,84,CB
416,Denis Suárez,205192,23,Spain,80,87,RM
417,M. Batshuayi,204529,23,Belgium,80,85,ST
418,J. Brooks,204082,24,United States,80,85,CB
419,Eric Botteghin,203888,29,Brazil,80,80,CB
420,L. Karius,203775,24,Germany,80,84,GK
421,T. Hazard,203486,24,Belgium,80,84,RM
422,V. Germain,203280,27,France,80,80,ST
423,L. Kurzawa,201510,24,France,80,85,LB
424,J. Iličić,200647,29,Slovenia,80,80,CAM
425,K. Volland,200610,24,Germany,80,83,LW
426,Allan,199914,26,Brazil,80,82,CM
427,P. Hernández,199827,30,Chile,80,80,CAM
428,D. Tadić,199434,28,Serbia,80,80,RM
429,L. Muriel,199110,26,Colombia,80,83,ST
430,Pablo Sarabia,198950,25,Spain,80,83,CM
431,A. Oxlade-Chamberlain,198784,23,England,80,85,RWB
432,J. Guilavogui,198118,26,France,80,82,CM
433,O. Özyakup,196934,24,Turkey,80,85,CDM
434,Y. Rakitskyi,195861,27,Ukraine,80,82,CB
435,Sergi Enrich,194879,27,Spain,80,81,ST
436,Neto,194404,27,Brazil,80,80,GK
437,Hugo Mallo,194229,26,Spain,80,83,CB
438,D. Didavi,193886,27,Germany,80,81,CM
439,R. Soriano,193361,26,Italy,80,81,CM
440,A. Schürrle,193130,26,Germany,80,81,LW
441,M. Gonalons,193116,28,France,80,80,CDM
442,R. Pereyra,193061,26,Argentina,80,83,CAM
443,K. Vogt,192641,25,Germany,80,82,CDM
444,F. Orellana,192492,31,Chile,80,80,RW
445,Maicon,191687,28,Brazil,80,80,CB
446,E. Salvio,190972,26,Argentina,80,80,RM
447,D. Blind,190815,27,Netherlands,80,81,CB
448,S. El Shaarawy,190813,24,Italy,80,83,LW
449,M. Antonio,190717,27,England,80,81,RWB
450,Iago Falqué,190264,27,Spain,80,80,LW
451,S. Rondón,189250,27,Venezuela,80,80,ST
452,Daniel Carriço,189156,28,Portugal,80,81,CDM
453,M. Schmelzer,188802,29,Germany,80,80,LM
454,J. McCarthy,188253,26,Republic of Ireland,80,83,CM
455,A. Dzagoev,187735,27,Russia,80,81,ST
456,Ganso,187688,27,Brazil,80,81,CM
457,F. Smolov,187491,27,Russia,80,81,ST
458,D. Welbeck,186146,26,England,80,81,ST
459,Luiz Gustavo,185221,29,Brazil,80,80,CB
460,Mikel San José,185132,28,Spain,80,80,CM
461,M. Darmian,184392,27,Italy,80,81,RB
462,R. Thomas,184190,29,France,80,80,CB
463,I. Traoré,183909,29,Guinea,80,80,RM
464,Sidnei,182002,27,Brazil,80,82,CB
465,J. Lens,178416,29,Netherlands,80,80,RW
466,Eder,178311,30,Italy,80,80,LW
467,Kiko Casilla,177644,30,Spain,80,80,GK
468,Nacho Monreal,177604,31,Spain,80,80,CB
469,S. Bender,177458,28,Germany,80,81,CDM
470,M. Díaz,176930,30,Chile,80,80,CDM
471,A. Fernández,176915,31,Argentina,80,80,CM
472,M. Berg,176733,30,Sweden,80,80,ST
473,I. Piatti,176376,32,Argentina,80,80,ST
474,V. Birsa,176104,30,Slovenia,80,80,CAM
475,Pedro León,175379,30,Spain,80,80,LM
476,K. Boateng,173909,30,Ghana,80,80,CAM
477,Marcano,173521,30,Spain,80,80,CB
478,H. Moreno,173432,29,Mexico,80,80,LB
479,S. Romero,173373,30,Argentina,80,80,GK
480,A. Candreva,173221,30,Italy,80,80,RW
481,D. Criscito,173208,30,Italy,80,80,CB
482,D. Wass,172522,28,Denmark,80,80,CAM
483,Coke,172316,30,Spain,80,80,RM
484,A. Guardado,171897,30,Mexico,80,80,CDM
485,J. dos Santos,170370,27,Mexico,80,81,RM
486,E. Lamela,170368,25,Argentina,80,83,LM
487,R. Bertrand,169705,27,England,80,80,LB
488,Renato Augusto,169195,29,Brazil,80,80,LM
489,Jardel,168530,31,Brazil,80,80,CB
490,V. Denisov,167553,30,Uzbekistan,80,80,LB
491,D. Basta,167514,32,Serbia,80,80,RM
492,G. Cabral,165536,31,Argentina,80,80,CB
493,G. Paletta,165526,31,Italy,80,80,CB
494,T. Walcott,164859,28,England,80,80,ST
495,L. Fabiański,164835,32,Poland,80,80,GK
496,B. Foster,163155,34,England,80,80,GK
497,V. Ibišević,162369,32,Bosnia Herzegovina,80,80,ST
498,K. El Ahmadi,162329,32,Morocco,80,80,CM
499,S. Kalou,158232,31,Ivory Coast,80,80,ST
500,Manuel Fernandes,157960,31,Portugal,80,80,CM
501,A. Granqvist,156713,32,Sweden,80,80,CB
502,L. Podolski,150516,32,Germany,80,80,CAM
503,Javi Fuego,146460,33,Spain,80,80,CM
504,F. Belluschi,143587,33,Argentina,80,80,CM
505,A. Mirante,140293,33,Italy,80,80,GK
506,V. Enyeama,139968,34,Nigeria,80,80,GK
507,F. Marchetti,139668,34,Italy,80,80,GK
508,Kaká,138449,35,Brazil,80,80,ST
509,J. Milner,138412,31,England,80,80,CM
510,A. Hutchinson,134744,34,Canada,80,80,CM
511,M. Topal,124635,31,Turkey,80,80,CB
512,J. Mathieu,112316,33,France,80,80,LB
513,C. Kameni,111661,33,Cameroon,80,80,GK
514,P. Jagielka,53914,34,England,80,80,CB
515,P. Evra,52091,36,France,80,80,LB
516,J. Defoe,50542,34,England,80,80,ST
517,Júlio César,48717,37,Brazil,80,80,GK
518,M. Carrick,21146,35,England,80,80,CDM
519,M. Almirón,230977,23,Paraguay,79,83,LM
520,Oyarzabal,230142,20,Spain,79,86,RW
521,Soares,227476,26,Brazil,79,81,ST
522,M. Campaña,225647,28,Uruguay,79,82,GK
523,F. Andone,225018,24,Romania,79,84,ST
524,M. Acuña,224334,25,Argentina,79,82,RM
525,V. Lindelöf,221660,22,Sweden,79,86,CB
526,Y. Cardinale,221130,23,France,79,85,GK
527,C. Lenglet,220440,22,France,79,84,CB
528,M. Dahoud,218339,21,Germany,79,87,CDM
529,D. Zappacosta,216150,25,Italy,79,83,RM
530,N. Maksimović,215466,25,Serbia,79,83,CB
531,E. Rigoni,215259,24,Argentina,79,85,LM
532,I. Marcone,215057,27,Argentina,79,82,CDM
533,L. López,215051,27,Argentina,79,80,CB
534,A. Correa,214997,22,Argentina,79,87,RW
535,K. Coman,213345,21,France,79,86,LM
536,S. Kritsyuk,213150,26,Russia,79,82,GK
537,W. Cyprien,212886,22,France,79,87,CDM
538,Diego Llorente,212602,23,Spain,79,87,CDM
539,Anderson Talisca,212523,23,Brazil,79,84,CM
