,Name,ID,Age,Nationality,primary_pos,Overall,Potential,Salary,Club
57,David Luiz,179944,30,Brazil,CB,86,86,190000,Chelsea
58,Diego Costa,179844,28,Spain,ST,86,86,235000,Chelsea
59,R. Nainggolan,178518,29,Belgium,CAM,86,86,130000,Roma
60,Javi Martínez,177610,28,Spain,CDM,86,86,165000,FC Bayern Munich
61,D. Mertens,175943,30,Belgium,ST,86,86,135000,Napoli
62,Sokratis,172879,29,Greece,CB,86,86,110000,Borussia Dortmund
63,Miranda,168609,32,Brazil,CB,86,86,115000,Inter
64,K. Benzema,165153,29,France,ST,86,86,295000,Real Madrid CF
65,Cesc Fàbregas,162895,30,Spain,CAM,86,86,210000,Chelsea
66,F. Ribéry,156616,34,France,LW,86,86,175000,FC Bayern Munich
67,Pepe,120533,34,Portugal,CB,86,86,94000,Beşiktaş JK
68,P. Čech,48940,35,Czech Republic,GK,86,86,92000,Arsenal
69,Y. Carrasco,208418,23,Belgium,RM,85,90,77000,Atlético Madrid
70,R. Varane,201535,24,France,CB,85,92,175000,Real Madrid CF
71,Casemiro,200145,25,Brazil,CDM,85,89,195000,Real Madrid CF
72,L. Insigne,198219,26,Italy,LW,85,86,115000,Napoli
73,A. Lacazette,193301,26,France,ST,85,88,180000,Arsenal
74,K. Navas,193041,30,Costa Rica,GK,85,85,165000,Real Madrid CF
75,H. Mkhitaryan,192883,28,Armenia,LM,85,85,195000,Manchester United
76,D. Subašić,192593,32,Croatia,GK,85,85,46000,AS Monaco
77,B. Leno,192563,25,Germany,GK,85,88,61000,Bayer 04 Leverkusen
78,M. ter Stegen,192448,25,Germany,GK,85,89,155000,FC Barcelona
79,K. Glik,190547,29,Poland,CB,85,85,60000,AS Monaco
80,Jordi Alba,189332,28,Spain,LB,85,85,215000,FC Barcelona
81,I. Gündoğan,186942,26,Germany,CDM,85,87,190000,Manchester City
82,Azpilicueta,184432,27,Spain,LB,85,87,160000,Chelsea
83,A. Di María,183898,29,Argentina,LW,85,85,145000,Paris Saint-Germain
84,M. Pjanić,180206,27,Bosnia Herzegovina,CDM,85,86,160000,Juventus
85,C. Marchisio,173210,31,Italy,CDM,85,85,160000,Juventus
86,J. Vertonghen,172871,30,Belgium,CB,85,85,130000,Tottenham Hotspur
87,B. Matuidi,170890,30,France,CM,85,85,145000,Juventus
88,S. Ruffier,167628,30,France,GK,85,85,49000,AS Saint-Étienne
89,Filipe Luís,164169,31,Brazil,LB,85,85,81000,Atlético Madrid
90,V. Kompany,139720,31,Belgium,CB,85,85,170000,Manchester City
91,A. Barzagli,137186,36,Italy,CB,85,85,105000,Juventus
92,E. Bailly,225508,23,Ivory Coast,CB,84,89,150000,Manchester United
93,Marco Asensio,220834,21,Spain,LW,84,92,175000,Real Madrid CF
94,Bernardo Silva,218667,22,Portugal,RM,84,91,165000,Manchester City
95,A. Laporte,212218,23,France,CB,84,89,36000,Athletic Club de Bilbao
96,D. Alli,211117,21,England,LM,84,90,115000,Tottenham Hotspur
97,S. Mané,208722,25,Senegal,LW,84,87,175000,Liverpool
98,Carvajal,204963,25,Spain,RB,84,87,195000,Real Madrid CF
99,J. Draxler,202166,23,Germany,LM,84,87,120000,Paris Saint-Germain
100,M. Icardi,201399,24,Argentina,ST,84,89,105000,Inter
101,Morata,201153,24,Spain,ST,84,88,170000,Chelsea
102,K. Koulibaly,201024,26,Senegal,CB,84,87,96000,Napoli
103,T. Horn,200316,24,Germany,GK,84,90,39000,1. FC Köln
104,Koke,193747,25,Spain,LM,84,88,84000,Atlético Madrid
105,K. Manolas,192774,26,Greece,CB,84,86,96000,Roma
106,S. Mustafi,192227,25,Germany,CB,84,86,145000,Arsenal
107,Ander Herrera,191740,27,Spain,CDM,84,84,190000,Manchester United
108,K. Strootman,189712,27,Netherlands,CDM,84,85,105000,Roma
109,Pedro,189505,29,Spain,LW,84,84,200000,Chelsea
110,R. Bürki,189117,26,Switzerland,GK,84,86,69000,Borussia Dortmund
111,Bruno,184120,33,Spain,CDM,84,84,59000,Villarreal CF
112,I. Perišić,181458,28,Croatia,CAM,84,84,110000,Inter
113,E. Džeko,180930,31,Bosnia Herzegovina,ST,84,84,115000,Roma
114,Willian,180403,28,Brazil,CAM,84,84,200000,Chelsea
115,S. Khedira,179846,30,Germany,CDM,84,84,160000,Juventus
116,R. Fährmann,179783,28,Germany,GK,84,85,54000,FC Schalke 04
117,Sergio Asenjo,178750,28,Spain,GK,84,85,46000,Villarreal CF
118,Juan Mata,178088,29,Spain,RM,84,84,195000,Manchester United
119,M. Benatia,177509,30,Morocco,CB,84,84,145000,Juventus
120,D. Payet,177388,30,France,CAM,84,84,60000,Olympique de Marseille
121,Falcao,167397,31,Colombia,ST,84,84,68000,AS Monaco
122,L. Koscielny,165229,31,France,CB,84,84,150000,Arsenal
123,G. Cahill,164468,31,England,CB,84,84,160000,Chelsea
124,Dani Alves,146530,34,Brazil,RB,84,84,115000,Paris Saint-Germain
125,A. Gómez,143076,29,Argentina,ST,84,84,60000,Atalanta
126,Aduriz,106231,36,Spain,ST,84,84,38000,Athletic Club de Bilbao
127,K. Mbappé,231747,18,France,ST,83,94,31000,Paris Saint-Germain
128,O. Dembélé,231443,20,France,CAM,83,92,150000,FC Barcelona
129,N. Keïta,220971,22,Guinea,CAM,83,88,68000,RB Leipzig
130,J. Giménez,216460,22,Uruguay,CB,83,87,53000,Atlético Madrid
131,G. Rulli,215316,25,Argentina,GK,83,89,28000,Real Sociedad
132,T. Lemar,213565,21,France,LM,83,91,37000,AS Monaco
133,João Mário,212814,24,Portugal,CAM,83,88,70000,Inter
134,N. Süle,212190,21,Germany,CB,83,89,78000,FC Bayern Munich
135,Ederson,210257,23,Brazil,GK,83,89,87000,Manchester City
136,Fabinho,209499,23,Brazil,CDM,83,88,37000,AS Monaco
137,M. Salah,209331,25,Egypt,RW,83,86,135000,Liverpool
138,A. Belotti,208596,23,Italy,ST,83,90,58000,Torino
139,E. Forsberg,208448,25,Sweden,LM,83,85,75000,RB Leipzig
140,Marquinhos,207865,23,Brazil,CB,83,89,75000,Paris Saint-Germain
141,William Carvalho,207566,25,Portugal,CM,83,86,21000,Sporting CP
142,S. Umtiti,205600,23,France,CB,83,88,135000,FC Barcelona
143,R. Mahrez,204485,26,Algeria,RM,83,84,88000,Leicester City
144,V. van Dijk,203376,25,Netherlands,CB,83,86,89000,Southampton
145,Roberto Firmino,201942,25,Brazil,CAM,83,87,135000,Liverpool
146,Danilo Pereira,200888,25,Portugal,CM,83,86,18000,FC Porto
147,Vitolo,199715,27,Spain,RM,83,83,68000,UD Las Palmas
148,A. Lopes,199482,26,Portugal,GK,83,86,60000,Olympique Lyonnais
149,S. de Vrij,198176,25,Netherlands,CB,83,88,56000,Lazio
150,M. Perin,198009,24,Italy,GK,83,88,28000,Genoa
151,J. Matip,197061,25,Cameroon,CB,83,85,110000,Liverpool
152,I. Gueye,193474,27,Senegal,CM,83,84,115000,Everton
153,Iago Aspas,192629,29,Spain,RW,83,83,39000,RC Celta de Vigo
154,N. Otamendi,192366,29,Argentina,CB,83,83,140000,Manchester City
155,N. Matić,191202,28,Serbia,CM,83,83,140000,Manchester United
156,J. Pastore,191180,28,Argentina,RW,83,83,100000,Paris Saint-Germain
157,Parejo,189513,28,Spain,CDM,83,83,45000,Valencia CF
158,S. Kagawa,189358,28,Japan,ST,83,83,75000,Borussia Dortmund
159,G. Bonaventura,189125,27,Italy,LW,83,83,115000,Milan
160,B. Dost,189068,28,Netherlands,ST,83,83,28000,Sporting CP
161,K. Walker,188377,27,England,RWB,83,84,130000,Manchester City
162,Oscar,188152,25,Brazil,CAM,83,86,0,
163,S. N'Zonzi,187936,28,France,CM,83,83,25000,Sevilla FC
164,M. Musacchio,186547,26,Argentina,CB,83,86,105000,Milan
165,O. Toprak,185239,27,Turkey,CB,83,84,66000,Borussia Dortmund
166,José Callejón,185020,30,Spain,RW,83,83,87000,Napoli
167,Adrien Silva,184826,28,Portugal,CDM,83,83,0,
168,S. Giovinco,184431,30,Italy,ST,83,83,15000,Toronto FC
169,N. Gaitán,184144,29,Argentina,LM,83,83,70000,Atlético Madrid
170,M. Mandžukić,181783,31,Croatia,LM,83,83,135000,Juventus
171,A. Lallana,180819,29,England,CM,83,83,135000,Liverpool
172,B. Höwedes,179784,29,Germany,CB,83,83,50000,Juventus
173,E. Banega,178562,29,Argentina,CM,83,83,27000,Sevilla FC
174,Rui Patrício,178005,29,Portugal,GK,83,83,19000,Sporting CP
175,Y. Sommer,177683,28,Switzerland,GK,83,84,39000,Borussia Mönchengladbach
176,M. Schneiderlin,177358,27,France,CM,83,85,115000,Everton
177,Jonas,176769,33,Brazil,ST,83,83,21000,SL Benfica
178,K. Gameiro,176600,30,France,ST,83,83,73000,Atlético Madrid
179,L. Piszczek,173771,32,Poland,CB,83,83,66000,Borussia Dortmund
180,E. Garay,170481,30,Argentina,CB,83,83,40000,Valencia CF
181,A. Valencia,167905,31,Ecuador,RB,83,83,130000,Manchester United
182,K. Schmeichel,163587,30,Denmark,GK,83,84,65000,Leicester City
183,M. Dembélé,162240,29,Belgium,CDM,83,83,115000,Tottenham Hotspur
184,Borja Valero,161956,32,Spain,ST,83,83,80000,Inter
185,L. Perrin,159147,31,France,CB,83,83,46000,AS Saint-Étienne
186,L. Biglia,158963,31,Argentina,CM,83,83,105000,Milan
187,Juanfran,146760,32,Spain,RB,83,83,62000,Atlético Madrid
188,Diego López,146748,35,Spain,GK,83,83,19000,RCD Espanyol
189,Santi Cazorla,146562,32,Spain,CDM,83,83,130000,Arsenal
190,J. Mascherano,142754,33,Argentina,CDM,83,83,155000,FC Barcelona
191,W. Sneijder,139869,33,Netherlands,CAM,83,83,47000,OGC Nice
192,Nani,139068,30,Portugal,LM,83,83,47000,Lazio
193,D. De Rossi,53302,33,Italy,CDM,83,83,73000,Roma
194,José Reina,24630,34,Spain,GK,83,83,59000,Napoli
195,Quaresma,20775,33,Portugal,LM,83,83,67000,Beşiktaş JK
196,Y. Touré,20289,34,Ivory Coast,CDM,83,83,145000,Manchester City
197,Casillas,5479,36,Spain,GK,83,83,10000,FC Porto
198,G. Donnarumma,230621,18,Italy,GK,82,94,35000,Milan
199,L. Sané,222492,21,Germany,LM,82,91,125000,Manchester City
200,T. Bakayoko,219809,22,France,CM,82,88,105000,Chelsea
201,C. Tolisso,219683,22,France,CDM,82,89,98000,FC Bayern Munich
202,I. Slimani,217699,29,Algeria,ST,82,82,100000,Leicester City
203,N. Fekir,216594,23,France,ST,82,85,70000,Olympique Lyonnais
204,J. Seri,216451,25,Ivory Coast,CDM,82,83,45000,OGC Nice
205,K. Baldé Diao,215785,22,Senegal,ST,82,90,46000,AS Monaco
206,J. Tah,213331,21,Germany,CB,82,88,47000,Bayer 04 Leverkusen
207,F. Bernardeschi,212404,23,Italy,LM,82,88,110000,Juventus
208,T. Werner,212188,21,Germany,ST,82,87,68000,RB Leipzig
209,André Gomes,211575,23,Portugal,CAM,82,88,150000,FC Barcelona
210,A. Martial,211300,21,France,ST,82,90,115000,Manchester United
211,L. Goretzka,209658,22,Germany,CDM,82,88,46000,FC Schalke 04
212,Q. Promes,208808,25,Netherlands,LM,82,85,76000,Spartak Moscow
213,Lucas Vázquez,208618,26,Spain,RM,82,83,185000,Real Madrid CF
214,Saúl,208421,22,Spain,RM,82,90,59000,Atlético Madrid
215,Felipe,207863,28,Brazil,CB,82,82,20000,FC Porto
216,C. Bacca,207664,30,Colombia,ST,82,82,125000,Villarreal CF
217,F. Vázquez,207471,28,Italy,ST,82,82,27000,Sevilla FC
218,M. Kovačić,207410,23,Croatia,CDM,82,88,150000,Real Madrid CF
219,Sergio Rico,206652,23,Spain,GK,82,87,16000,Sevilla FC
220,Manu Trigueros,206545,25,Spain,CAM,82,85,43000,Villarreal CF
221,A. Rüdiger,205452,24,Germany,RB,82,86,105000,Chelsea
222,F. Thauvin,204970,24,France,RM,82,85,40000,Olympique de Marseille
223,S. Savić,204639,26,Montenegro,CB,82,86,62000,Atlético Madrid
224,Iñigo Martínez,204525,26,Spain,CB,82,86,37000,Real Sociedad
225,Roque Mesa,204277,28,Spain,CM,82,82,85000,Swansea City
226,A. Florenzi,203551,26,Italy,CM,82,84,73000,Roma
227,D. Klaassen,203483,24,Netherlands,CAM,82,85,110000,Everton
228,K. Bellarabi,202857,27,Germany,RM,82,82,67000,Bayer 04 Leverkusen
229,R. Sterling,202652,22,England,LM,82,87,140000,Manchester City
230,Suso,202651,23,Spain,RW,82,87,110000,Milan
231,Deulofeu,202477,23,Spain,RW,82,89,165000,FC Barcelona
232,E. Dier,202335,23,England,CM,82,87,85000,Tottenham Hotspur
233,M. Rojo,201862,27,Argentina,LB,82,83,130000,Manchester United
234,Lucas,200949,24,Brazil,LW,82,85,92000,Paris Saint-Germain
235,H. Son,200104,24,Korea Republic,ST,82,85,95000,Tottenham Hotspur
236,F. Acerbi,199845,29,Italy,CB,82,82,68000,Sassuolo
237,G. Xhaka,199503,24,Switzerland,CDM,82,85,110000,Arsenal
238,Jonathan Viera,198164,27,Spain,CAM,82,82,31000,UD Las Palmas
239,Pizzi,197965,27,Portugal,RM,82,82,19000,SL Benfica
240,Willian José,195093,25,Brazil,ST,82,86,42000,Real Sociedad
241,O. Baumann,193698,27,Germany,GK,82,84,37000,TSG 1899 Hoffenheim
242,G. Medel,193532,29,Chile,CB,82,82,64000,Beşiktaş JK
243,Víctor Ruíz,193469,28,Spain,CB,82,83,43000,Villarreal CF
244,X. Shaqiri,193348,25,Switzerland,RW,82,85,85000,Stoke City
245,J. Cuadrado,193082,29,Colombia,RM,82,82,130000,Juventus
246,C. Immobile,192387,27,Italy,ST,82,83,70000,Lazio
247,Douglas Costa,190483,26,Brazil,RM,82,82,115000,Juventus
248,N. Clyne,190456,26,England,RB,82,84,115000,Liverpool
249,Iborra,189560,29,Spain,CAM,82,82,85000,Leicester City
250,K. Trapp,188943,26,Germany,GK,82,84,71000,Paris Saint-Germain
251,V. Wanyama,188942,26,Kenya,CM,82,85,99000,Tottenham Hotspur
252,Taison,188803,29,Brazil,CAM,82,82,1000,Shakhtar Donetsk
253,Marlos,187754,29,Brazil,RM,82,82,1000,Shakhtar Donetsk
254,L. Stindl,187072,28,Germany,CAM,82,82,56000,Borussia Mönchengladbach
255,M. Balotelli,186627,26,Italy,ST,82,82,51000,OGC Nice
256,A. Ramsey,186561,26,Wales,RM,82,83,130000,Arsenal
257,W. Szczęsny,186153,27,Poland,GK,82,84,90000,Juventus
258,G. Sigurðsson,184484,27,Iceland,LM,82,82,130000,Everton
259,Y. Brahimi,184267,27,Algeria,LM,82,82,21000,FC Porto
260,M. Arnautović,184200,28,Austria,LW,82,82,125000,West Ham United
261,J. Henderson,183711,27,England,CM,82,84,115000,Liverpool
262,M. Kruse,183574,29,Germany,CAM,82,82,47000,SV Werder Bremen
263,O. Karnezis,183497,31,Greece,GK,82,82,30000,Watford
264,L. Fejsa,183376,28,Serbia,CM,82,82,18000,SL Benfica
265,F. Muslera,182494,31,Uruguay,GK,82,82,57000,Galatasaray SK
266,V. Ćorluka,181786,31,Croatia,CB,82,82,54000,Lokomotiv Moscow
267,G. Wijnaldum,181291,26,Netherlands,CAM,82,85,130000,Liverpool
268,F. Fazio,179847,30,Argentina,CB,82,82,73000,Roma
269,O. Giroud,178509,30,France,ST,82,82,140000,Arsenal
270,B. Ivanović,178372,33,Serbia,RB,82,82,73000,Zenit St. Petersburg
271,J. Hernández,178224,29,Mexico,ST,82,82,135000,West Ham United
272,Beñat,177600,30,Spain,CM,82,82,35000,Athletic Club de Bilbao
273,L. Bender,177457,28,Germany,CM,82,83,64000,Bayer 04 Leverkusen
274,A. Witsel,177413,28,Belgium,CAM,82,82,0,
275,C. Bravo,174543,34,Chile,GK,82,82,110000,Manchester City
276,A. Begović,172723,30,Bosnia Herzegovina,GK,82,82,64000,Bournemouth
277,Naldo,171919,34,Brazil,CB,82,82,48000,FC Schalke 04
278,D. Sturridge,171833,27,England,ST,82,82,140000,Liverpool
279,D. Rose,169595,26,England,LWB,82,83,99000,Tottenham Hotspur
280,C. Vela,169416,28,Mexico,ST,82,82,46000,Real Sociedad
281,E. Viviano,168354,31,Italy,GK,82,82,37000,Sampdoria
282,G. Castro,167431,30,Germany,RM,82,82,72000,Borussia Dortmund
283,S. Nasri,165239,30,France,RM,82,82,29000,Antalyaspor
284,A. Williams,163824,32,Wales,CB,82,82,115000,Everton
285,S. Mandanda,163705,32,France,GK,82,82,31000,Olympique de Marseille
286,L. Baines,163631,32,England,LB,82,82,115000,Everton
287,A. Consigli,163489,30,Italy,GK,82,82,52000,Sassuolo
288,João Moutinho,162347,30,Portugal,CAM,82,82,48000,AS Monaco
289,B. Costil,158121,29,France,GK,82,82,46000,Girondins de Bordeaux
290,Raúl Albiol,157481,31,Spain,CB,82,82,73000,Napoli
291,J. Hart,150724,30,England,GK,82,82,110000,West Ham United
292,M. Gómez,150418,31,Germany,ST,82,82,85000,VfL Wolfsburg
293,Raffael,144622,32,Brazil,ST,82,82,54000,Borussia Mönchengladbach
294,A. Turan,143745,30,Turkey,LW,82,82,170000,FC Barcelona
295,Fernandinho,135507,32,Brazil,RB,82,82,130000,Manchester City
296,David Villa,113422,35,Spain,ST,82,82,12000,New York City Football Club
297,S. Lichtsteiner,108080,33,Switzerland,RM,82,82,115000,Juventus
298,R. Jarstein,104389,32,Norway,GK,82,82,30000,Hertha BSC Berlin
299,Gabriel Jesus,230666,20,Brazil,ST,81,92,115000,Manchester City
300,Nélson Semedo,227928,23,Portugal,RB,81,87,125000,FC Barcelona
301,Gelson Martins,227055,22,Portugal,LM,81,88,20000,Sporting CP
302,Malcom,222737,20,Brazil,RM,81,87,47000,Girondins de Bordeaux
303,J. Weigl,222028,21,Germany,CM,81,87,46000,Borussia Dortmund
304,D. Sánchez,220793,21,Colombia,CB,81,88,70000,Tottenham Hotspur
305,A. Kramarić,216354,26,Croatia,LW,81,83,50000,TSG 1899 Hoffenheim
306,M. Brozović,216352,24,Croatia,CDM,81,85,64000,Inter
307,Williams,216201,23,Spain,LW,81,87,31000,Athletic Club de Bilbao
308,Dani García,216194,27,Spain,CDM,81,82,26000,SD Eibar
309,A. Christensen,213661,21,Denmark,CDM,81,89,86000,Chelsea
310,J. Kimmich,212622,22,Germany,CDM,81,87,81000,FC Bayern Munich
311,Bruma,211368,22,Portugal,RM,81,86,63000,RB Leipzig
312,D. Berardi,210935,22,Italy,RW,81,87,62000,Sassuolo
313,M. Sanson,210896,22,France,CDM,81,87,34000,Olympique de Marseille
314,A. Rabiot,210008,22,France,CM,81,86,77000,Paris Saint-Germain
315,R. Guerreiro,209889,23,Portugal,CM,81,86,58000,Borussia Dortmund
316,J. Vardy,208830,30,England,ST,81,81,89000,Leicester City
317,H. Ziyech,208670,24,Morocco,CAM,81,85,16000,Ajax
318,M. Keane,207599,24,England,CB,81,87,91000,Everton
319,Jorginho,205498,25,Italy,CM,81,84,71000,Napoli
320,Héctor Bellerín,203747,22,Spain,RB,81,88,91000,Arsenal
321,J. Butland,203042,24,England,GK,81,87,50000,Stoke City
322,S. Zaza,202685,26,Italy,ST,81,82,44000,Valencia CF
323,T. Meunier,202371,25,Belgium,RM,81,84,77000,Paris Saint-Germain
324,Felipe Anderson,201995,24,Brazil,RM,81,86,57000,Lazio
325,Rafinha,201400,24,Brazil,RW,81,86,140000,FC Barcelona
326,Nacho Fernández,200724,27,Spain,RB,81,83,145000,Real Madrid CF
327,J. Cillessen,199987,28,Netherlands,GK,81,83,125000,FC Barcelona
328,Sergi Roberto,199564,25,Spain,CM,81,86,140000,FC Barcelona
329,W. Ben Yedder,199451,26,France,ST,81,82,26000,Sevilla FC
330,Lucas Pérez,199354,28,Spain,ST,81,81,135000,RC Deportivo de La Coruña
331,R. Barkley,199189,23,England,RW,81,86,105000,Everton
332,C. Bakambu,198951,26,DR Congo,LM,81,84,45000,Villarreal CF
333,W. Zaha,198717,24,Ivory Coast,LM,81,84,60000,Crystal Palace
334,Bartra,198141,26,Spain,CB,81,83,61000,Borussia Dortmund
335,S. Aurier,197853,24,Ivory Coast,RB,81,85,79000,Tottenham Hotspur
336,S. Coates,197655,26,Uruguay,CB,81,83,21000,Sporting CP
337,G. Krychowiak,197242,27,Poland,CDM,81,83,81000,West Bromwich Albion
338,K. Kampl,195365,26,Slovenia,CAM,81,83,73000,RB Leipzig
339,D. Lovren,195086,27,Croatia,CB,81,83,110000,Liverpool
340,A. Yarmolenko,194794,27,Ukraine,RM,81,81,72000,Borussia Dortmund
341,Y. Belhanda,193738,27,Morocco,LW,81,81,71000,Galatasaray SK
342,Mário Fernandes,193525,26,Russia,RM,81,82,52000,CSKA Moscow
343,R. Rodríguez,193352,24,Switzerland,CB,81,84,83000,Milan
344,J. Corona,193165,24,Mexico,RM,81,85,17000,FC Porto
345,Mario Gaspar,192789,26,Spain,RB,81,84,38000,Villarreal CF
346,Marcos Alonso,192638,26,Spain,LB,81,83,115000,Chelsea
347,M. Götze,192318,25,Germany,CAM,81,85,63000,Borussia Dortmund
348,L. Hrádecký,190941,27,Finland,GK,81,83,28000,Eintracht Frankfurt
349,Illarramendi,190584,27,Spain,CM,81,81,37000,Real Sociedad
350,De Marcos,190149,28,Spain,RB,81,81,31000,Athletic Club de Bilbao
351,C. Smalling,189881,27,England,CB,81,82,120000,Manchester United
352,Iturraspe,189574,28,Spain,CM,81,81,33000,Athletic Club de Bilbao
353,J. Wilshere,189461,25,England,CDM,81,84,115000,Arsenal
354,S. Rudy,189251,27,Germany,RM,81,82,105000,FC Bayern Munich
355,M. Lanzini,188988,24,Argentina,LM,81,87,95000,West Ham United
356,R. Boudebouz,188388,27,Algeria,CAM,81,82,32000,Real Betis Balompié
357,Camacho,188005,27,Spain,CM,81,84,66000,VfL Wolfsburg
358,Paulinho,187961,28,Brazil,CDM,81,81,165000,FC Barcelona
359,N. Kalinić,185431,29,Croatia,ST,81,81,84000,Milan
360,Giuliano,184942,27,Brazil,CAM,81,82,80000,Fenerbahçe SK
361,C. Benteke,184111,26,Belgium,ST,81,83,75000,Crystal Palace
362,D. Perotti,183900,28,Argentina,ST,81,81,84000,Roma
363,M. Parolo,183498,32,Italy,CDM,81,81,60000,Lazio
364,K. Mitroglou,183483,29,Greece,ST,81,81,44000,Olympique de Marseille
365,M. Sakho,183285,27,France,CB,81,82,63000,Crystal Palace
366,A. Rami,183280,31,France,CB,81,81,35000,Olympique de Marseille
367,S. Jovetić,181820,27,Montenegro,CAM,81,82,48000,AS Monaco
368,S. Coleman,180216,28,Republic of Ireland,RB,81,81,115000,Everton
369,S. Kjær,179645,28,Denmark,CB,81,82,23000,Sevilla FC
370,Adán,178086,30,Spain,GK,81,81,24000,Real Betis Balompié
371,M. Valbuena,177326,32,France,LM,81,81,86000,Fenerbahçe SK
372,S. Mignolet,173426,29,Belgium,GK,81,81,91000,Liverpool
373,D. Astori,173198,30,Italy,CB,81,81,68000,Fiorentina
374,K. Mirallas,172175,29,Belgium,LW,81,81,125000,Everton
375,Raúl García,171579,30,Spain,RW,81,81,32000,Athletic Club de Bilbao
376,M. Škrtel,166706,32,Slovakia,CB,81,81,73000,Fenerbahçe SK
377,T. Heaton,163264,31,England,GK,81,81,51000,Burnley
378,H. Ben Arfa,161648,30,France,ST,81,81,88000,Paris Saint-Germain
379,Dante,158625,33,Brazil,CB,81,81,39000,OGC Nice
380,A. Gignac,153244,31,France,ST,81,81,84000,Tigres U.A.N.L.
